Place Name,Full Address,Website URL,Phone,Reviews,Rating,Shopping,Pickup,Delivery,Type,Opens At,Introduction
Genki Ya - Boston,"232 Tremont St, Boston, MA 02116",genkiyasushi.com,(617) 338-8686,927,4.2,No,No,Yes,Japanese restaurant,Open · Closes 10:45PM,Outpost of a relaxed chain eatery serving creative organic rolls & other Japanese dishes.
Somenya Boston,"23 Hudson St, Boston, MA 02111",somenya.com,(617) 993-3368,272,4.6,No,No,Yes,Japanese restaurant, · Closes 9:30PM,None Found
Tora Japanese Restaurant,"20B Tyler St, Boston, MA 02111",toraboston.com,(617) 542-6688,982,4.4,No,No,Yes,Japanese restaurant, · Closes 10PM,Poke bowls and kaisen don (sashimi and rice bowls) are emphasized at this intimate Japanese eatery.
o ya,"9 E St, Boston, MA 02111",o-ya.restaurant,(617) 654-9900,623,4.5,No,No,Yes,Japanese restaurant, · Opens 5PM,"Acclaimed, inventive sushi, Japanese small plates & tasting menus crafted in elegant surrounds."
Oishii Boston,"1166 Washington St #110, Boston, MA 02118",oishiiboston.com,(617) 482-8868,717,4.4,No,No,Yes,Authentic Japanese restaurant,Closed · Opens 4:30PM,"High-concept sushi & other Japanese plates crafted in swish, dramatically lit environs."
Douzo Sushi,"131 Dartmouth St, Boston, MA 02116",douzosushi.com,(617) 859-8886,1237,4.4,No,No,Yes,Japanese restaurant, · Closes 11:30PM,"Trendy, bustling Japanese restaurant serving sushi & cocktails in a modern, loungey space."
Tori Japan,"62 Central Square, East Boston, MA 02128",torijapan.com,(617) 418-5326,158,4.6,No,No,Yes,Japanese restaurant, · Closes 10PM,None Found
Fuji at Ink Block,"352b Harrison Ave, Boston, MA 02118",fujiatinkblock.com,(617) 936-3282,771,4.5,No,No,Yes,Sushi restaurant, · Closes 9PM,"Sleek Japanese spot offering elegant but accessible sushi, tasting menus, stir-fry dishes & more."
Izakaya Ittoku,"1815 Massachusetts Ave, Cambridge, MA 02140",ittoku.org,(617) 608-3630,988,4.6,No,No,Yes,Authentic Japanese restaurant,Closed · Opens 4PM,"Unassuming, brick-walled spot for Japanese small plates, yakitori & sushi, plus wide choice of sake."
Hojoko,"1271 Boylston St, Boston, MA 02215",hojokoboston.com,(617) 670-0507,1038,4.2,No,No,Yes,Japanese restaurant,Open · Closes 10PM,Hip izakaya in Verb Hotel serving Japanese tavern-style fare with craft beers & frozen cocktails.
Wa Shin,"222 Stuart St, Boston, MA 02116",washinboston.com,(857) 289-9290,183,4.9,No,No,Yes,Restaurant, · Opens 5PM,None Found
YABA sushi,"106 Cambridge St, Boston, MA 02114",yabasushiboston.com,(617) 823-5588,51,5.0,No,No,No,Japanese restaurant, · Closes 10PM,None Found
Zaku Izakaya,"520 Columbus Ave, Boston, MA 02118",zakuboston.com,(617) 906-6666,80,4.7,No,No,Yes,Izakaya restaurant, · Opens 4:30PM,None Found
Mai,"31 Northern Ave, Boston, MA 02210",mai.boston,(617) 609-1444,146,4.9,No,No,No,Japanese restaurant, · Opens 5PM,None Found
Basho Japanese Brasserie,"1338 Boylston St, Boston, MA 02215",bashosushi.com,(617) 262-1338,613,4.1,No,No,Yes,Japanese restaurant, · Closes 10PM,Lively restaurant for sushi & cocktails offering both communal tables & intimate seating.
FuGaKyu Japanese Cuisine,"1280 Beacon St, Brookline, MA 02446",fugakyuatbrookline.com,(617) 734-1268,1472,4.3,No,No,Yes,Japanese restaurant, · Closes 11PM,"Elevated sushi with a creative twist offered in a chic, airy space with screened private rooms."
Sakabayashi Sushi Tavern by SUSHIRO,"665 Boylston St, Boston, MA 02116",sakabayashi.com,(857) 449-9006,425,4.6,No,Yes,Yes,Modern izakaya restaurant,Closed · Opens 5PM,None Found
RUKA,"505 Washington St, Boston, MA 02111",rukarestobar.com,(617) 266-0102,1951,4.4,No,No,Yes,Sushi restaurant,Closed · Opens 5PM,"Peruvian, Japanese, and Chinese food in a dining room that mixes cultural motifs for dramatic effect."
